# name: lapalma_sky
# wavelength_unit: angstrom
# emission_unit: flam
# rescale_emission: {filter_name: "V", value: 21.9, unit: mag}
wavelength     emission
8969.663       61.06553
8978.400       90.51929
8987.138       85.52587
8995.875       60.61082
9004.612       28.31373
9013.350       30.43361
9022.088       49.20182
9030.825       59.19416
9039.563       48.91606
9048.300       30.39851
9057.037       19.43106
9065.774       20.66423
9074.512       27.44993
9083.249       32.44199
9091.987       26.49896
9100.725       18.33109
9109.462       12.57585
9118.199       13.26459
9126.937       17.93991
9135.674       22.26019
9144.411       23.17913
9153.148       18.77816
9161.887       12.85617
9170.624       11.07581
9179.361       10.94984
9188.099       14.62662
9196.836       18.17179
9205.573       20.42736
9214.311       19.04270
9223.048       16.28051
9231.785       23.25550
9240.523       37.32136
9249.261       41.16006
9257.998       34.43560
9266.735       24.05228
9275.473       51.04492
9284.210       154.1674
9292.947       240.0590
9301.685       254.6973
9310.423       178.6463
9319.160       97.89015
9327.897       46.50620
9336.635       36.42916
9345.372       119.3766
9354.109       229.8513
9362.847       257.2212
9371.584       177.9606
9380.321       83.42435
9389.060       89.01922
9397.797       108.9959
9406.534       147.8233
9415.271       228.4313
9424.009       250.0175
9432.746       254.1638
9441.483       189.9278
9450.221       250.0627
9458.959       239.8593
9467.696       206.9919
9476.434       146.2813
9485.171       138.0829
9493.908       164.8792
9502.646       132.1715
9511.383       101.7178
9520.120       74.17988
9528.857       91.17809
9537.596       150.9508
9546.333       179.0685
9555.070       147.8242
9563.808       72.22876
9572.545       36.74028
9581.282       46.13096
9590.020       65.77846
9598.757       81.95174
9607.495       64.87979
9616.232       43.71873
9624.970       32.06453
9633.707       42.52062
9642.444       71.99242
9651.182       117.7141
9659.919       148.6488
9668.656       177.0505
9677.394       185.9515
9686.132       207.3099
9694.869       221.8857
9703.606       203.6005
9712.344       172.3197
9721.081       111.9683
9729.818       77.00273
9738.556       42.61523
9747.293       28.24694
9756.031       89.03938
9764.769       241.7619
9773.506       140.6441
9782.243       0.000000
9790.980       0.000000
